N	CPU	SCAN	FULL
399000	0.002371	0.000295	0.001997
400000	0.001953	0.000285	0.001727
401000	0.001755	0.000307	0.001680
402000	0.001817	0.000292	0.001545
403000	0.001663	0.000280	0.001825
404000	0.002001	0.000278	0.001457
405000	0.002045	0.000280	0.001423
406000	0.002206	0.000280	0.001449
407000	0.001694	0.000287	0.001550
408000	0.002009	0.000288	0.001815
409000	0.001845	0.000283	0.001825
410000	0.002008	0.000288	0.001831
411000	0.001928	0.000288	0.001559
412000	0.002049	0.000303	0.001658
413000	0.002261	0.000315	0.001879
414000	0.001913	0.000293	0.001898
415000	0.002133	0.000282	0.001515
416000	0.001741	0.000303	0.001880
417000	0.002022	0.000312	0.001862
418000	0.002096	0.000291	0.001453
419000	0.001813	0.000294	0.001614
420000	0.001965	0.000287	0.001928
421000	0.001969	0.000293	0.001556
422000	0.001802	0.000295	0.001509
423000	0.002494	0.000287	0.001883
424000	0.001893	0.000288	0.001547
425000	0.002310	0.000327	0.002232
426000	0.002156	0.000311	0.001954
427000	0.002069	0.000292	0.001900
428000	0.001960	0.000288	0.001642
429000	0.002791	0.000298	0.001826
430000	0.002134	0.000287	0.001548
431000	0.002274	0.000302	0.001821
432000	0.002354	0.000304	0.002338
433000	0.001819	0.000295	0.001473
434000	0.002133	0.000301	0.001535
435000	0.002023	0.000301	0.001658
436000	0.002168	0.000325	0.001674
437000	0.001891	0.000303	0.001564
438000	0.002059	0.000312	0.001582
439000	0.002134	0.000303	0.001635
440000	0.001920	0.000304	0.002159
441000	0.002209	0.000306	0.001471
442000	0.002336	0.000316	0.001991
443000	0.001871	0.000305	0.001890
444000	0.002053	0.000306	0.001919
445000	0.001919	0.000304	0.001544
446000	0.002421	0.000304	0.001987
447000	0.002533	0.000387	0.002023
448000	0.001965	0.000305	0.001594
449000	0.002032	0.000320	0.001767
450000	0.002347	0.000305	0.001568
451000	0.001898	0.000355	0.002270
452000	0.002287	0.000312	0.001685
453000	0.001927	0.000309	0.001780
454000	0.002440	0.000325	0.001740
455000	0.002200	0.000313	0.001605
456000	0.002237	0.000317	0.001634
457000	0.002598	0.000303	0.001650
458000	0.002087	0.000307	0.001677
459000	0.002027	0.000310	0.001637
460000	0.001971	0.000315	0.001621
461000	0.002278	0.000314	0.001636
462000	0.002674	0.000487	0.001911
463000	0.002100	0.000315	0.001629
464000	0.002569	0.000317	0.001733
465000	0.002656	0.000311	0.002060
466000	0.002229	0.000337	0.001763
467000	0.002256	0.000364	0.001894
468000	0.002243	0.000364	0.002310
469000	0.002277	0.000316	0.001721
470000	0.002576	0.000327	0.001800
471000	0.002183	0.000376	0.002222
472000	0.002430	0.000325	0.001639
473000	0.002165	0.000323	0.001947
474000	0.003594	0.000505	0.002741
475000	0.002415	0.000340	0.002372
476000	0.002634	0.000369	0.001861
477000	0.002612	0.000338	0.002490
478000	0.002879	0.000314	0.001991
479000	0.002359	0.000314	0.002323
480000	0.002698	0.000471	0.003124
481000	0.002525	0.000356	0.002154
482000	0.002179	0.000321	0.001773
483000	0.002447	0.000351	0.002254
484000	0.002414	0.000418	0.002138
485000	0.002608	0.000316	0.002274
486000	0.002184	0.000326	0.001844
487000	0.002663	0.000371	0.001945
488000	0.002619	0.000316	0.002033
489000	0.002631	0.000336	0.001884
490000	0.002318	0.000326	0.002241
491000	0.002166	0.000327	0.001758
492000	0.002248	0.000349	0.002134
493000	0.002127	0.000327	0.001762
494000	0.002325	0.000588	0.002358
495000	0.002608	0.000318	0.002338
496000	0.002139	0.000325	0.001754
497000	0.002578	0.000335	0.001898
498000	0.002189	0.000327	0.001902
499000	0.002527	0.000343	0.001919
500000	0.002219	0.000328	0.001739
501000	0.002795	0.000330	0.003017
502000	0.002694	0.000332	0.001950
503000	0.003134	0.000344	0.002128
504000	0.002352	0.000331	0.001773
505000	0.002496	0.000345	0.002000
506000	0.002699	0.000345	0.002203
507000	0.002373	0.000336	0.002164
508000	0.002241	0.000331	0.001984
509000	0.002229	0.000331	0.001829
510000	0.002705	0.000349	0.001844
511000	0.002169	0.000340	0.001839
512000	0.002542	0.000336	0.001875
513000	0.002846	0.000334	0.001985
514000	0.002413	0.000348	0.002043
515000	0.002384	0.000350	0.002009
516000	0.002286	0.000324	0.001943
517000	0.002355	0.000338	0.001820
518000	0.002735	0.000340	0.001940
519000	0.002540	0.000361	0.002053
520000	0.002328	0.000338	0.002344
521000	0.002369	0.000361	0.001889
522000	0.002380	0.000353	0.001959
523000	0.002520	0.000388	0.002248
524000	0.002596	0.000358	0.002086
525000	0.002349	0.000334	0.001875
526000	0.002444	0.000335	0.002028
527000	0.002776	0.000327	0.002044
528000	0.002289	0.000328	0.001982
529000	0.002790	0.000349	0.001986
530000	0.002737	0.000330	0.001956
531000	0.002884	0.000349	0.002381
532000	0.002828	0.000400	0.003218
533000	0.002503	0.000331	0.002088
534000	0.002611	0.000351	0.002153
535000	0.002829	0.000348	0.001790
536000	0.002545	0.000330	0.002021
537000	0.002140	0.000358	0.002066
538000	0.002766	0.000334	0.001969
539000	0.002698	0.000334	0.002128
540000	0.002658	0.000393	0.002289
541000	0.002801	0.000345	0.001677
542000	0.002475	0.000343	0.001987
543000	0.002611	0.000344	0.001965
544000	0.002831	0.000350	0.002057
545000	0.002609	0.000361	0.002169
546000	0.002535	0.000339	0.002245
547000	0.002667	0.000345	0.002002
548000	0.002551	0.000335	0.002012
549000	0.002480	0.000391	0.002131
550000	0.002585	0.000349	0.002041
551000	0.002577	0.000349	0.001989
552000	0.002232	0.000339	0.002147
553000	0.002564	0.000338	0.002085
554000	0.002763	0.000348	0.002126
555000	0.002634	0.000347	0.002344
556000	0.002772	0.000339	0.002212
557000	0.002600	0.000344	0.002048
558000	0.002891	0.000344	0.002048
559000	0.002249	0.000372	0.002095
560000	0.002694	0.000350	0.002099
561000	0.002287	0.000345	0.002119
562000	0.002621	0.000352	0.002106
563000	0.002921	0.000359	0.002160
564000	0.002800	0.000355	0.002220
565000	0.002880	0.000366	0.002103
566000	0.002632	0.000346	0.002030
567000	0.002875	0.000393	0.002338
568000	0.002616	0.000356	0.002169
569000	0.002748	0.000356	0.002266
570000	0.002646	0.000359	0.001719
571000	0.002692	0.000349	0.002166
572000	0.002967	0.000357	0.001747
573000	0.003009	0.000427	0.002104
574000	0.002915	0.000402	0.002477
575000	0.002956	0.000349	0.002143
576000	0.002956	0.000394	0.002598
577000	0.002863	0.000350	0.002026
578000	0.003191	0.000357	0.002190
579000	0.002920	0.000353	0.002345
580000	0.002905	0.000412	0.002917
581000	0.002891	0.000408	0.002296
